
cond  n   joint_err   err_mirror-aware   pck@0.2   arcface_cos   face_px   facing_ok
----------------------------------------------------------------------------------------
T0    4   0.2615      0.2526             0.666     0.903         129       3/4
N1    4   0.1985      0.1985             0.736     0.8417        111       3/4
R08   4   0.1933      0.1933             0.736     0.8776        112       3/4
R10   4   0.1983      0.1983             0.736     0.8667        113       3/4

per-image:
name                         err  err_mir    pck     cos  facepx  facing
pose01_T0.png             0.6041   0.6038  0.167  0.9122     135   False
pose01_N1.png             0.5506   0.5506  0.222  0.8918     114   False
pose01_R08.png             0.538    0.538  0.222  0.8923     113   False
pose01_R10.png            0.5427   0.5427  0.222  0.8849     114   False
pose02_T0.png             0.0838   0.0813  0.944  0.9199     125    True
pose02_N1.png             0.0453   0.0453    1.0  0.9025     110    True
pose02_R08.png            0.0395   0.0395    1.0   0.887     106    True
pose02_R10.png            0.0403   0.0403    1.0  0.8844     109    True
pose03_T0.png             0.1883   0.1574  0.833  0.8734     121    True
pose03_N1.png             0.0924   0.0924  0.944  0.6831     106    True
pose03_R08.png            0.0641   0.0641    1.0  0.8464     112    True
pose03_R10.png             0.066    0.066    1.0  0.8198     114    True
pose04_T0.png             0.1699   0.1678  0.722  0.9064     137    True
pose04_N1.png             0.1056   0.1056  0.778  0.8896     115    True
pose04_R08.png            0.1315   0.1315  0.722  0.8846     117    True
pose04_R10.png            0.1444   0.1444  0.722  0.8778     117    True
