
by prompt strategy
--------------------------------------------------------------------------------------------
strat   n   dino->garment  dino->orig  lab->garment  cos->person  cos->master  pose_err
V1      6          0.8505      0.2787        13.945       0.8311       0.7782    0.0883
V2      6          0.8216      0.2938        16.965        0.831       0.7801    0.0929

by garment
--------------------------------------------------------------------------------------------
G1      4          0.8703      0.2199        14.425       0.8154       0.7737    0.0864
G2      4          0.8491      0.2248       17.3125        0.822       0.7681    0.1082
G3      4          0.7888       0.414       14.6275       0.8558       0.7956    0.0771

per image
--------------------------------------------------------------------------------------------
name                                             dinoG    labG    cosP    cosM    pose
pose02_R08__G1_V1.png                           0.8698    8.59   0.775  0.7619  0.0469
pose02_R08__G1_V2.png                           0.8423    8.37  0.7739  0.7261  0.0574
pose02_R08__G2_V1.png                           0.8445   27.11  0.8077   0.731  0.0962
pose02_R08__G2_V2.png                           0.7898   26.83  0.7789  0.7396  0.1026
pose02_R08__G3_V1.png                           0.7928   11.22  0.8292  0.7887  0.0427
pose02_R08__G3_V2.png                           0.7885   26.39  0.8547  0.8006  0.0545
pose04_R08__G1_V1.png                           0.9093   22.27  0.8605  0.8013  0.1135
pose04_R08__G1_V2.png                             0.86   18.47  0.8522  0.8054  0.1279
pose04_R08__G2_V1.png                           0.9058    4.41  0.8589  0.8044  0.1296
pose04_R08__G2_V2.png                           0.8562    10.9  0.8423  0.7975  0.1045
pose04_R08__G3_V1.png                           0.7809   10.07  0.8552  0.7817  0.1008
pose04_R08__G3_V2.png                           0.7928   10.83   0.884  0.8114  0.1106
