
by prompt strategy
--------------------------------------------------------------------------------------------
strat   n   dino->garment  dino->orig  lab->garment  cos->person  cos->master  pose_err
V1     16          0.7533      0.2236       13.2588        0.823       0.7797    0.1048

by garment
--------------------------------------------------------------------------------------------
G10     2          0.5347      0.2872        22.055       0.8488       0.7933    0.0863
G11     2          0.9298      0.2273         6.295       0.8593       0.8029    0.1071
G4      2          0.3379      0.2981         16.64       0.8256       0.7873     0.085
G5      2          0.7492      0.2122          5.82       0.8204       0.7815    0.0922
G6      2          0.8363       0.269         10.76       0.8163       0.7675    0.0599
G7      2          0.8332       0.217        14.215       0.7662       0.7495    0.1331
G8      2          0.9284      0.0935         11.56       0.8478       0.8125    0.1492
G9      2          0.8766      0.1849        18.725       0.7999       0.7429    0.1257

per image
--------------------------------------------------------------------------------------------
name                                             dinoG    labG    cosP    cosM    pose
pose02_R08__G10_V1.png                          0.4414    28.1  0.8414   0.789  0.0567
pose02_R08__G11_V1.png                          0.9269    2.67  0.8515  0.7991  0.0846
pose02_R08__G4_V1.png                           0.3508     6.8  0.7847  0.7661  0.0675
pose02_R08__G5_V1.png                           0.6478     4.7  0.7772  0.7715  0.0871
pose02_R08__G6_V1.png                           0.8458    1.62  0.7952  0.7483  0.0698
pose02_R08__G7_V1.png                           0.8461   15.43  0.7932  0.7806  0.1458
pose02_R08__G8_V1.png                           0.9233    3.49  0.8317  0.8114  0.1494
pose02_R08__G9_V1.png                           0.8811   27.05  0.7387  0.6943  0.1147
pose04_R08__G10_V1.png                           0.628   16.01  0.8561  0.7977  0.1159
pose04_R08__G11_V1.png                          0.9327    9.92  0.8671  0.8067  0.1295
pose04_R08__G4_V1.png                            0.325   26.48  0.8665  0.8084  0.1025
pose04_R08__G5_V1.png                           0.8507    6.94  0.8635  0.7915  0.0973
pose04_R08__G6_V1.png                           0.8268    19.9  0.8374  0.7867  0.0499
pose04_R08__G7_V1.png                           0.8203    13.0  0.7392  0.7185  0.1205
pose04_R08__G8_V1.png                           0.9336   19.63   0.864  0.8136  0.1491
pose04_R08__G9_V1.png                           0.8721    10.4  0.8612  0.7915  0.1367
