
by prompt strategy
--------------------------------------------------------------------------------------------
strat   n   dino->garment  dino->orig  lab->garment  cos->person  cos->master  pose_err
V1     12          0.8656      0.2596        9.2133       0.8286       0.7717     0.093

by garment
--------------------------------------------------------------------------------------------
G1      4          0.8669      0.2288         16.55        0.835       0.7751    0.0877
G2      4          0.9212      0.1639          8.29       0.8296       0.7907    0.1169
G3      4          0.8087       0.386           2.8       0.8213       0.7493    0.0744

per image
--------------------------------------------------------------------------------------------
name                                             dinoG    labG    cosP    cosM    pose
pose02_R08__G1_V1_s8801.png                     0.8518   12.44  0.7957   0.725  0.0505
pose02_R08__G1_V1_s9902.png                     0.8416   15.46  0.8367  0.8024  0.0598
pose02_R08__G2_V1_s8801.png                     0.9154   20.81  0.7721  0.7956  0.1134
pose02_R08__G2_V1_s9902.png                     0.9289    4.78  0.8152  0.7904   0.093
pose02_R08__G3_V1_s8801.png                     0.7523    2.45  0.8003  0.7733  0.0614
pose02_R08__G3_V1_s9902.png                     0.7612    3.01   0.832  0.7424  0.0423
pose04_R08__G1_V1_s8801.png                     0.8763   18.53   0.872  0.8048  0.1137
pose04_R08__G1_V1_s9902.png                     0.8978   19.77  0.8355  0.7682  0.1269
pose04_R08__G2_V1_s8801.png                     0.9382    4.77  0.8784  0.7876  0.1392
pose04_R08__G2_V1_s9902.png                     0.9022     2.8  0.8527  0.7893  0.1218
pose04_R08__G3_V1_s8801.png                     0.9311    3.91   0.794  0.7016  0.0898
pose04_R08__G3_V1_s9902.png                     0.7901    1.83  0.8588    0.78   0.104
